FA_Value,SHAP_Value
0.63,-0.6931936155405543
0.66,0.0065390163481964724
0.67,0.6201945852937123
0.67,0.4489323999165562
0.67,0.24824167044213227
0.68,0.6851328614700393
0.68,0.6851328614700393
0.68,0.5191333076455892
0.7,0.23698165119459158
0.7,0.6034731009331363
0.7,0.6858843231202498
0.7,0.2753955205447633
0.71,0.5955825754967706
0.71,0.41055345289527645
0.71,0.41055345289527645
0.71,0.44078639941011843
0.72,0.7309415848367413
0.73,0.9734745925445832
0.73,0.4488051518048984
0.74,0.6599368373845758
0.74,0.5698089296668081
0.741,0.49398276701180144
0.75,0.5095203510990991
0.75,0.7488535089647721
0.75,0.7139438676725355
0.75,0.7192334229732478
0.75,0.5742340721051907
0.76,0.24042579466776334
0.76,0.27473468578407906
0.76,0.2877624145206134
0.78,0.48206390617772205
0.78,0.4485346535847956
0.78,0.34836585137479475
0.78,0.3507170614534185
0.78,0.5045702710895534
0.784,0.5436720150025558
0.7885,0.38109011200035336
0.79,0.4201973904033915
0.79,0.4187775307685752
0.79,0.4373048000877647
0.79,0.22138747555257166
0.79,0.2570395651943119
0.8,0.2424972959596687
0.8,0.3007598916021727
0.8,0.3431659871684181
0.8,0.32063896556859717
0.8,0.26244819969132865
0.8,0.26244819969132865
0.8,0.5629180594882592
0.8,0.4600913071640784
0.8,0.5414702466254575
0.8,0.3602059573149332
0.8,0.3625987207382793
0.8,0.32671474466930445
0.8,0.39788082212898385
0.8,0.6567432320232783
0.8,0.2823272736577531
0.8,0.4920442293153865
0.8,0.45536691100105564
0.8,0.4249134308019814
0.8,0.4249134308019814
0.8,0.5336116319115043
0.8075,0.4373696371171914
0.8075,0.4528781571718466
0.8075,0.5552486427324043
0.81,0.5048153977113053
0.81,0.4621072588225958
0.81,0.467126976764204
0.83,0.4858153325290515
0.83,0.734548606937532
0.83,0.24657376599111985
0.83,0.6154701314832219
0.83,0.6250210681601034
0.833,0.4964113740981558
0.833,0.4908712753776923
0.833,0.6045191685097314
0.833,0.5996589023217734
0.84,0.9763355988435006
0.84,0.9953348202983066
0.85,0.8819291543866534
0.85,1.2335048709545675
0.85,0.9885481470925495
0.85,0.817379965995442
0.85,0.9749163958050359
0.85,0.8033664543122861
0.85,0.8552970160997543
0.85,0.9089150850987465
0.85,0.9082661744349858
0.85,0.6034242240981785
0.85,0.9639382761707923
0.85,1.1148605518104144
0.85,0.9552842133348538
0.85,0.835990107871317
