FA_Value,SHAP_Value
0.0,-2.017921961249569
0.0,-1.9524379066843078
0.0,-1.980965380566092
0.0,-2.418645707124475
0.0,-2.2168011550135027
0.0,-2.4725623995592807
0.0,-2.0763131354264193
0.0,-2.2028921241147144
0.0,-2.139247688496535
0.0,-2.1708261409712675
0.0,-1.667995083496741
0.0,-1.3483446539657813
0.0,-1.8565185870750631
0.0,-1.8949926498130032
0.0,-1.8689905214146862
0.0,-1.9642651150917227
0.0,-1.8926647561289287
0.0,-1.9247307392723756
0.0,-1.9950305628737455
0.0,-1.6272101306657762
0.0,-2.4725623995592807
0.0,-1.8170303002489714
0.0,-1.7321468395091657
0.0,-1.8287651829404392
0.0,-1.6241508403101392
0.0,-1.7751973695137397
0.0,-2.1593056441116856
0.0,-1.8647293911028777
0.0,-1.7073078203585987
0.0,-1.88994423209645
0.0,-1.7711040270619312
0.0,-1.7297067957481767
0.14,-1.2860037346403745
0.3,-0.5735733166605124
0.3,-0.5735733166605124
0.3,-0.5598334230872528
0.3,-0.5627747370507054
0.3,-0.5031515562034811
0.3,-0.5751076079516703
0.3,-0.741120681262912
0.31,-0.2689472011154669
0.35,-0.18780373382154208
0.35,-0.2213956864716827
0.35,-0.2371382463660507
0.4,-0.3348572952470627
0.4,-0.34054052683944
0.4,-0.2977545850427352
0.4,-0.3454908354301853
0.54,-0.44839500846776276
0.54,-0.2930345175343139
0.54,-0.4215275113259654
0.55,-0.2203233583810315
0.55,-0.5794565382803256
0.55,-0.24803550369266159
0.6,0.349543137748967
0.63,-0.09670766827426423
0.66,0.33859708592884413
0.67,-0.22560859205336778
0.67,-0.06147120619027154
0.67,0.1977447463517865
0.68,0.4857838644485866
0.68,0.48581099602569483
0.68,0.48581099602569483
0.69,0.07077139614783966
0.69,0.7641677207108674
0.7,0.846919182654608
0.7,0.7179023488478631
0.7,1.2665348755948282
0.7,0.8296965380637265
0.7,1.052235628853165
0.7,0.9891509157234187
0.7,1.0727915270739536
0.71,1.228055160164181
0.71,1.3576997810882592
0.71,0.8664134756092176
0.71,0.8579737084273072
0.71,1.4622932145545997
0.71,1.1325441533577216
0.72,1.086116969397848
0.73,0.9673503629391305
0.73,1.301832503498291
0.74,1.2337285921646304
0.74,1.1032042100940698
0.74,1.1056078918042795
0.741,1.0079494152821509
0.75,0.9505412312180544
0.75,0.8871790425079898
0.75,1.3605624844320938
0.75,1.3055032612908501
0.75,1.2903521605754766
0.75,1.1642507433754103
0.75,0.912759545251576
0.75,0.939906875506065
0.76,1.0300239453086637
0.76,1.113359766502195
0.76,0.7229039130323963
0.76,0.7327861099978409
0.76,0.7292822437611555
0.76,1.113359766502195
0.78,0.9168209609069147
0.78,0.9798267322259111
0.78,1.1622041789096078
0.78,0.9266787486953024
0.78,1.1391833088450039
0.78,0.844531705895226
0.78,0.8412625606659623
0.782,0.9823072147541869
0.784,1.1360071083699337
0.7885,1.018644402925454
0.7885,1.0210040638178313
0.7885,0.8753477559918023
0.7885,0.9005238751133795
0.7885,1.1625535339437443
0.79,0.6276046251396306
0.79,1.060065903518183
0.79,0.9427378858456349
0.79,1.1426589818189963
0.79,0.994182428962094
0.79,0.994182428962094
0.8,0.8854644899428613
0.8,1.0988229630170527
0.8,1.0988229630170527
0.8,1.0988229630170527
0.8,0.9599913230438232
0.8,0.7220672881022161
0.8,0.9757444782763818
0.8,0.8735023834216941
0.8,1.1734999194592837
0.8,1.044069487367939
0.8,1.1801786732558128
0.8,1.2151136838365961
0.8,0.7220672881022161
0.8,0.9488612701246574
