Feature,Original,Encoded
Precursor_Solution_Addictive,FACl,29
Precursor_Solution_Addictive,FAH2PO2 +LP+n-octylammonium iodide+phenylethylammonium chloride+TPABr3,30
Precursor_Solution_Addictive,"FAH₂PO₃+FACl+PEABF₄
+GAPbI₃+LP+CsI+ZnCl₂
+CBH",31
Precursor_Solution_Addictive,FAI,32
Precursor_Solution_Addictive,FAI+CsI,33
Precursor_Solution_Addictive,FAI+MABr,34
Precursor_Solution_Addictive,FAI+MACl+CsI,35
Precursor_Solution_Addictive,FASCl,36
Precursor_Solution_Addictive,H2O+DMF,37
Precursor_Solution_Addictive,HI,38
Precursor_Solution_Addictive,InCl3,39
Precursor_Solution_Addictive,KCl,40
Precursor_Solution_Addictive,KCl+PbI2,41
Precursor_Solution_Addictive,KNCO,42
Precursor_Solution_Addictive,KPF6+PbCl2,43
Precursor_Solution_Addictive,L-AA,44
Precursor_Solution_Addictive,LP,45
Precursor_Solution_Addictive,LP+BMIMBF4+MACl+PbI2,46
Precursor_Solution_Addictive,LP+MACl+DMSO,47
Precursor_Solution_Addictive,LP+MACl+DMSO+MH2PO2,48
Precursor_Solution_Addictive,LP+MACl+PACl+PbI2+NMP,49
Precursor_Solution_Addictive,LP+methylammonium chloride+MAH2PO2,50
Precursor_Solution_Addictive,MAA,51
Precursor_Solution_Addictive,MABr,52
Precursor_Solution_Addictive,MACl,53
Precursor_Solution_Addictive,MACl+CsI,54
Precursor_Solution_Addictive,MACl+DMSO,55
Precursor_Solution_Addictive,MACl+FAI+CsI,56
Precursor_Solution_Addictive,MACl+HMPA,57
Precursor_Solution_Addictive,MACl+L-PC+MAH+PEC,58
Precursor_Solution_Addictive,MACl+MABr+CsBr,59
Precursor_Solution_Addictive,MACl+MABr+PC,60
Precursor_Solution_Addictive,MACl+MAPbBr3,61
Precursor_Solution_Addictive,MACl+NMP,62
Precursor_Solution_Addictive,MACl+PEACl+PbCl2+MeO-4PACz+CBH,63
Precursor_Solution_Addictive,MACl+Pb(SCN)2,64
Precursor_Solution_Addictive,MACl+PbI2,65
Precursor_Solution_Addictive,MACl+SBLC,66
Precursor_Solution_Addictive,MACl+[Bcmim]Cl,67
Precursor_Solution_Addictive,MACl+p-F-PEAI,68
Precursor_Solution_Addictive,MAI,69
Precursor_Solution_Addictive,MAI+5AVAI,70
Precursor_Solution_Addictive,MAI+FAI,71
Precursor_Solution_Addictive,MAI+Kac,72
Precursor_Solution_Addictive,MAPbCl3,73
Precursor_Solution_Addictive,MCH,74
Precursor_Solution_Addictive,MDPPO,75
Precursor_Solution_Addictive,Mxene,76
Precursor_Solution_Addictive,NH3,77
Precursor_Solution_Addictive,NH4Ac+PbAc2+HPA,78
Precursor_Solution_Addictive,PBAI,79
Precursor_Solution_Addictive,PHNS+BNAC,80
Precursor_Solution_Addictive,PU,81
Precursor_Solution_Addictive,PZ,82
Precursor_Solution_Addictive,Pb(SCN)2,83
Precursor_Solution_Addictive,PbCl2,84
Precursor_Solution_Addictive,PbCl2+ Pb(Ac)2+MAI,85
Precursor_Solution_Addictive,PbCl2+FAI,86
Precursor_Solution_Addictive,PbCl2+MACl,87
Precursor_Solution_Addictive,PbCl2+PbAc2,88
Precursor_Solution_Addictive,PbI2,89
Precursor_Solution_Addictive,PbI2+5AVAI,90
Precursor_Solution_Addictive,PbI2+BNCl,91
Precursor_Solution_Addictive,PbI2+CsBr+Urea,92
Precursor_Solution_Addictive,PbI2+CsForm,93
Precursor_Solution_Addictive,PbI2+CsI,94
Precursor_Solution_Addictive,PbI2+CsI+MACl,95
Precursor_Solution_Addictive,PbI2+CsPbBr3,96
Precursor_Solution_Addictive,PbI2+Cyclen,97
Precursor_Solution_Addictive,PbI2+DIO+MACl,98
Precursor_Solution_Addictive,PbI2+DMPU,99
Precursor_Solution_Addictive,PbI2+H2O,100
Precursor_Solution_Addictive,PbI2+IPA,101
Precursor_Solution_Addictive,PbI2+KI,102
Precursor_Solution_Addictive,PbI2+KPb2Br5,103
Precursor_Solution_Addictive,PbI2+MAAc,104
Precursor_Solution_Addictive,PbI2+MACl,105
Precursor_Solution_Addictive,PbI2+NH4Cl,106
Precursor_Solution_Addictive,PbI2+OFPP,107
Precursor_Solution_Addictive,PbI2+PU,108
Precursor_Solution_Addictive,PbI2+PbBr2,109
Precursor_Solution_Addictive,PbI2+PbBr2+18C6,110
Precursor_Solution_Addictive,PbI2+PbCl2,111
Precursor_Solution_Addictive,PbI2+TPPO,112
Precursor_Solution_Addictive,PbI₂+ FAI+ MAI+ CsCl,113
Precursor_Solution_Addictive,Polyurethane,114
Precursor_Solution_Addictive,bis-DMEC60,115
Precursor_Solution_Addictive,iBA-iBDTC,116
Precursor_Solution_Addictive,n-butanol,117
Precursor_Solution_Addictive,n-dodecylammonium iodide+LP+MAH2PO2+p-F-PEAI+BzH₂Cl₂+DMSO,118
Precursor_Solution_Addictive,sulfolane,119
Precursor_Solution_Addictive,t-BA,120
Deposition_Method,Chemical vapor  deposition,0
Deposition_Method,D-bar coating,1
Deposition_Method,Drop casting,2
Deposition_Method,Evaporation+blade-coating,3
Deposition_Method,Evaporation+slot die-coating,4
Deposition_Method,blade-coating,5
Deposition_Method,drop casting,6
Deposition_Method,evaporation,7
Deposition_Method,evaporation+spary-coating,8
Deposition_Method,evaporation+spin-coating,9
Deposition_Method,pressure application,10
Deposition_Method,slot die-coating,11
Deposition_Method,spin-coating,12
Deposition_Method,spin-coating + spray-coating,13
Deposition_Method,spray-coating,14
